start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present_at_landing,rat_present_30s
2018-03-29 00:54:00,34.0,rat,2018-03-29 00:46:00,2018-03-29 00:55:00,452,1,0,3,28/03/2018 18:57,5.955277778,1,0,0
2018-03-29 00:55:00,11.0,rat,2018-03-29 00:46:00,2018-03-29 00:55:00,507,1,0,3,28/03/2018 18:57,5.970555556,1,0,0
2018-03-29 02:20:00,0.013008356,fast,2018-03-29 02:19:00,2018-03-29 02:25:00,29,0,1,3,28/03/2018 18:57,7.385833333,1,0,1
2018-03-29 02:21:00,2.0,fast,2018-03-29 02:19:00,2018-03-29 02:25:00,135,0,1,3,28/03/2018 18:57,7.415277778,1,0,0
2018-03-29 02:22:00,2.0,rat,2018-03-29 02:19:00,2018-03-29 02:25:00,188,1,0,3,28/03/2018 18:57,7.43,1,0,0
2018-03-29 02:25:00,0.028276798,rat,2018-03-29 02:19:00,2018-03-29 02:25:00,329,1,0,3,28/03/2018 18:57,7.469166667,1,0,0
2018-03-20 02:11:00,4.0,rat_pick,2018-03-20 02:11:00,2018-03-20 02:11:00,46,1,1,3,19/03/2018 17:51,8.347222222,1,0,0
2018-03-20 03:17:00,2.0,fast,2018-03-20 03:15:00,2018-03-20 03:17:00,108,0,1,3,19/03/2018 17:51,9.436944444,1,0,0
2018-03-31 00:28:00,25.0,other_bats,2018-03-31 00:20:00,2018-03-31 00:28:00,517,1,0,3,30/03/2018 18:59,5.497777778,1,0,0
2018-03-31 01:57:00,3.0,fast,2018-03-31 01:48:00,2018-03-31 01:58:00,537,0,1,3,30/03/2018 18:59,6.976944444,1,0,0
